Geneid	final_project/original_files/tophat_mapping_hits_results.sam
Zm00001d028025	0
Zm00001d028026	0
Zm00001d028028	0
Zm00001d028030	0
Zm00001d028031	0
Zm00001d028032	0
Zm00001d028033	0
Zm00001d028034	0
Zm00001d028035	0
Zm00001d028036	0
Zm00001d028038	1
Zm00001d028039	0
Zm00001d028040	1
Zm00001d028041	0
Zm00001d028042	0
Zm00001d028043	0
Zm00001d028045	10
Zm00001d028046	0
Zm00001d028047	0
Zm00001d028050	0
Zm00001d028051	0
Zm00001d028053	0
Zm00001d028054	0
Zm00001d028055	0
Zm00001d028056	0
Zm00001d028057	0
Zm00001d028059	0
Zm00001d028060	0
Zm00001d028061	0
Zm00001d028062	1
Zm00001d028063	0
Zm00001d028064	0
Zm00001d028066	0
Zm00001d028068	0
Zm00001d028069	0
Zm00001d028070	0
Zm00001d028071	0
Zm00001d028072	0
Zm00001d028073	1
Zm00001d028074	0
Zm00001d028075	1
Zm00001d028076	0
Zm00001d028077	0
Zm00001d028079	0
Zm00001d028080	0
Zm00001d028081	0
Zm00001d028082	0
Zm00001d028083	0
Zm00001d028084	0
Zm00001d028085	0
Zm00001d028086	0
Zm00001d028088	2
Zm00001d028089	0
Zm00001d028090	0
Zm00001d028091	0
Zm00001d028092	0
Zm00001d028093	1
Zm00001d028094	2
Zm00001d028096	0
Zm00001d028097	0
Zm00001d028098	0
Zm00001d028100	0
Zm00001d028102	0
Zm00001d028103	0
Zm00001d028104	0
Zm00001d028105	0
Zm00001d028107	0
Zm00001d028108	0
Zm00001d028109	1
Zm00001d028110	0
Zm00001d028111	1
Zm00001d028112	0
Zm00001d028113	0
Zm00001d028114	0
Zm00001d028115	0
Zm00001d028116	0
Zm00001d028117	0
Zm00001d028118	0
Zm00001d028119	2
Zm00001d028120	0
Zm00001d028122	0
Zm00001d028123	0
Zm00001d028124	0
Zm00001d028125	0
Zm00001d028126	0
Zm00001d028127	0
Zm00001d028128	0
Zm00001d028129	0
Zm00001d028130	14
Zm00001d028135	0
Zm00001d028136	0
Zm00001d028137	0
Zm00001d028138	0
Zm00001d028139	0
Zm00001d028140	0
Zm00001d028141	0
Zm00001d028142	0
Zm00001d028143	0
Zm00001d028144	1
Zm00001d028150	0
Zm00001d028151	2
Zm00001d028152	0
Zm00001d028153	2
Zm00001d028154	0
Zm00001d028156	0
Zm00001d028157	0
Zm00001d028158	0
Zm00001d028159	0
Zm00001d028160	0
Zm00001d028161	0
Zm00001d028162	0
Zm00001d028164	2
Zm00001d028165	0
Zm00001d028167	0
Zm00001d028168	0
Zm00001d028169	0
Zm00001d028170	0
Zm00001d028171	0
Zm00001d028172	0
Zm00001d028173	0
Zm00001d028174	0
Zm00001d028175	0
Zm00001d028176	0
Zm00001d028177	0
Zm00001d028178	0
Zm00001d028179	0
Zm00001d028180	3
Zm00001d028181	0
Zm00001d028182	0
Zm00001d028183	1
Zm00001d028184	0
Zm00001d028185	1
Zm00001d028186	5
Zm00001d028187	0
Zm00001d028188	0
Zm00001d028189	1
Zm00001d028191	0
Zm00001d028193	0
Zm00001d028194	0
Zm00001d028195	0
Zm00001d028196	0
Zm00001d028197	0
Zm00001d028198	0
Zm00001d028199	5
Zm00001d028200	0
Zm00001d028201	1
Zm00001d028202	0
Zm00001d028203	0
Zm00001d028204	0
Zm00001d028205	0
Zm00001d028206	0
Zm00001d028207	1
Zm00001d028208	0
Zm00001d028209	0
Zm00001d028210	0
Zm00001d028211	0
Zm00001d028212	1
Zm00001d028213	1
Zm00001d028214	0
Zm00001d028215	0
Zm00001d028216	0
Zm00001d028217	0
Zm00001d028218	0
Zm00001d028219	1
Zm00001d028220	0
Zm00001d028221	0
Zm00001d028222	0
Zm00001d028223	0
Zm00001d028224	0
Zm00001d028225	2
Zm00001d028226	0
Zm00001d028227	0
Zm00001d028228	4
Zm00001d028229	0
Zm00001d028230	2
Zm00001d028231	0
Zm00001d028232	0
Zm00001d028233	0
Zm00001d028235	0
Zm00001d028237	0
Zm00001d028238	0
Zm00001d028239	0
Zm00001d028240	2
Zm00001d028241	0
Zm00001d028243	0
Zm00001d028244	2
Zm00001d028245	0
Zm00001d028248	0
Zm00001d028249	0
Zm00001d028250	0
Zm00001d028252	8
Zm00001d028254	0
Zm00001d028255	0
Zm00001d028256	0
Zm00001d028257	0
Zm00001d028258	1
Zm00001d028260	1
Zm00001d028261	0
Zm00001d028262	2
Zm00001d028263	0
Zm00001d028264	0
Zm00001d028265	0
Zm00001d028266	0
Zm00001d028267	3
Zm00001d028268	0
Zm00001d028269	0
Zm00001d028270	0
Zm00001d028271	0
Zm00001d028272	1
Zm00001d028273	0
Zm00001d028274	0
Zm00001d028275	0
Zm00001d028276	0
Zm00001d028277	0
Zm00001d028278	0
Zm00001d028279	0
Zm00001d028280	0
Zm00001d028281	0
Zm00001d028282	0
Zm00001d028284	0
Zm00001d028285	1
Zm00001d028286	0
Zm00001d028287	0
Zm00001d028288	0
Zm00001d028290	0
Zm00001d028293	1
Zm00001d028294	0
Zm00001d028295	0
Zm00001d028296	1
Zm00001d028297	0
Zm00001d028298	0
Zm00001d028299	1
Zm00001d028300	0
Zm00001d028301	0
Zm00001d028302	0
Zm00001d028303	0
Zm00001d028304	0
Zm00001d028305	0
Zm00001d028307	0
Zm00001d028308	0
Zm00001d028309	0
Zm00001d028311	0
Zm00001d028312	0
Zm00001d028313	0
Zm00001d028314	0
Zm00001d028315	0
Zm00001d028317	0
Zm00001d028318	0
Zm00001d028319	0
Zm00001d028320	0
Zm00001d028323	0
Zm00001d028325	0
Zm00001d028326	0
Zm00001d028327	0
Zm00001d028328	0
Zm00001d028330	2
Zm00001d028331	0
Zm00001d028332	1
Zm00001d028333	0
Zm00001d028335	0
Zm00001d028336	0
Zm00001d028337	13
Zm00001d028338	0
Zm00001d028339	2
Zm00001d028340	0
Zm00001d028341	4
Zm00001d028343	0
Zm00001d028344	1
Zm00001d028347	0
Zm00001d028348	0
Zm00001d028349	0
Zm00001d028351	0
Zm00001d028352	0
Zm00001d028354	0
Zm00001d028355	7
Zm00001d028356	0
Zm00001d028357	0
Zm00001d028358	1
Zm00001d028359	0
Zm00001d028360	0
Zm00001d028361	0
Zm00001d028362	0
Zm00001d028363	1
Zm00001d028365	0
Zm00001d028366	0
Zm00001d028367	0
Zm00001d028368	1
Zm00001d028369	0
Zm00001d028370	0
Zm00001d028371	0
Zm00001d028372	0
Zm00001d028373	0
Zm00001d028374	0
Zm00001d028375	6
Zm00001d028376	0
Zm00001d028377	0
Zm00001d028378	0
Zm00001d028379	0
Zm00001d028380	0
Zm00001d028382	0
Zm00001d028384	0
Zm00001d028385	0
Zm00001d028386	0
Zm00001d028388	0
Zm00001d028389	0
Zm00001d028390	0
Zm00001d028391	2
Zm00001d028392	0
Zm00001d028393	0
Zm00001d028394	0
Zm00001d028395	0
Zm00001d028396	0
Zm00001d028397	1
Zm00001d028398	0
Zm00001d028399	0
Zm00001d028400	0
Zm00001d028401	0
Zm00001d028402	0
Zm00001d028404	0
Zm00001d028405	0
Zm00001d028406	0
Zm00001d028408	0
Zm00001d028409	0
Zm00001d028410	0
Zm00001d028412	0
Zm00001d028413	0
Zm00001d028414	2
Zm00001d028415	1
Zm00001d028416	0
Zm00001d028417	1
Zm00001d028419	1
Zm00001d028422	0
Zm00001d028423	0
Zm00001d028424	0
Zm00001d028425	0
Zm00001d028426	0
Zm00001d028427	1
Zm00001d028428	0
Zm00001d028429	1
Zm00001d028431	0
Zm00001d028432	0
Zm00001d028433	0
Zm00001d028434	0
Zm00001d028436	4
Zm00001d028437	0
Zm00001d028438	0
Zm00001d028439	0
Zm00001d028440	0
Zm00001d028441	0
Zm00001d028443	0
Zm00001d028445	0
Zm00001d028447	0
Zm00001d028450	1
Zm00001d028451	0
Zm00001d028452	0
Zm00001d028453	1
Zm00001d028454	0
Zm00001d028455	0
Zm00001d028456	0
Zm00001d028457	0
Zm00001d028458	0
Zm00001d028461	0
Zm00001d028463	0
Zm00001d028464	1
Zm00001d028465	0
Zm00001d028467	0
Zm00001d028469	0
Zm00001d028470	0
Zm00001d028471	88
Zm00001d028472	1
Zm00001d028473	0
Zm00001d028474	0
Zm00001d028475	0
Zm00001d028477	1
Zm00001d028478	0
Zm00001d028480	0
Zm00001d028481	1
Zm00001d028482	1
Zm00001d028484	0
Zm00001d028485	0
Zm00001d028486	0
Zm00001d028488	0
Zm00001d028489	0
Zm00001d028490	0
Zm00001d028493	0
Zm00001d028494	0
Zm00001d028495	0
Zm00001d028496	0
Zm00001d028497	0
Zm00001d028498	0
Zm00001d028499	0
Zm00001d028500	0
Zm00001d028501	0
Zm00001d028502	0
Zm00001d028503	0
Zm00001d028504	0
Zm00001d028505	0
Zm00001d028508	0
Zm00001d028509	0
Zm00001d028510	0
Zm00001d028511	1
Zm00001d028512	0
Zm00001d028513	0
Zm00001d028514	0
Zm00001d028515	0
Zm00001d028517	0
Zm00001d028518	0
Zm00001d028519	0
Zm00001d028520	0
Zm00001d028521	0
Zm00001d028522	0
Zm00001d028523	0
Zm00001d028524	0
Zm00001d028525	0
Zm00001d028526	0
Zm00001d028527	0
Zm00001d028528	4
Zm00001d028529	0
Zm00001d028530	0
Zm00001d028531	0
Zm00001d028532	0
Zm00001d028533	1
Zm00001d028534	0
Zm00001d028535	0
Zm00001d028536	5
Zm00001d028537	0
Zm00001d028538	1
Zm00001d028539	1
Zm00001d028540	0
Zm00001d028541	0
Zm00001d028542	0
Zm00001d028543	2
Zm00001d028546	0
Zm00001d028547	0
Zm00001d028548	0
Zm00001d028549	1
Zm00001d028550	1
Zm00001d028552	0
Zm00001d028554	0
Zm00001d028555	0
Zm00001d028556	0
Zm00001d028557	0
Zm00001d028558	1
Zm00001d028560	1
Zm00001d028561	0
Zm00001d028562	7
Zm00001d028563	0
Zm00001d028564	0
Zm00001d028565	0
Zm00001d028566	0
Zm00001d028567	0
Zm00001d028568	2
Zm00001d028569	6
Zm00001d028570	0
Zm00001d028571	0
Zm00001d028572	0
Zm00001d028574	1
Zm00001d028575	0
Zm00001d028576	0
Zm00001d028577	0
Zm00001d028579	1
Zm00001d028580	0
Zm00001d028582	0
Zm00001d028584	0
Zm00001d028585	0
Zm00001d028586	0
Zm00001d028587	0
Zm00001d028588	0
Zm00001d028589	0
Zm00001d028590	0
Zm00001d028591	0
Zm00001d028592	0
Zm00001d028593	0
Zm00001d028594	0
Zm00001d028595	0
Zm00001d028596	1
Zm00001d028597	0
Zm00001d028598	0
Zm00001d028599	0
Zm00001d028601	0
Zm00001d028603	8
Zm00001d028604	0
Zm00001d028605	0
Zm00001d028606	1
Zm00001d028608	1
Zm00001d028609	0
Zm00001d028611	0
Zm00001d028612	0
Zm00001d028613	0
Zm00001d028615	0
Zm00001d028616	0
Zm00001d028617	0
Zm00001d028618	0
Zm00001d028619	8
Zm00001d028620	1
Zm00001d028621	0
Zm00001d028622	0
Zm00001d028623	1
Zm00001d028624	0
Zm00001d028625	0
Zm00001d028627	1
Zm00001d028630	13
Zm00001d028631	0
Zm00001d028632	0
Zm00001d028633	0
Zm00001d028635	0
Zm00001d028639	0
Zm00001d028640	1
Zm00001d028641	1
Zm00001d028642	13
Zm00001d028643	2
Zm00001d028645	0
Zm00001d028646	0
Zm00001d028647	0
Zm00001d028649	0
Zm00001d028650	0
Zm00001d028651	0
Zm00001d028652	0
Zm00001d028653	0
Zm00001d028654	0
Zm00001d028655	0
Zm00001d028656	0
Zm00001d028657	0
Zm00001d028658	0
Zm00001d028659	0
Zm00001d028660	0
Zm00001d028661	0
Zm00001d028662	0
Zm00001d028664	0
Zm00001d028665	0
Zm00001d028667	0
Zm00001d028668	0
Zm00001d028669	0
Zm00001d028670	6
Zm00001d028671	0
Zm00001d028672	0
Zm00001d028673	0
Zm00001d028675	1
Zm00001d028676	0
Zm00001d028677	0
Zm00001d028678	0
Zm00001d028679	3
Zm00001d028680	0
Zm00001d028685	0
Zm00001d028686	2
Zm00001d028687	0
Zm00001d028688	0
Zm00001d028689	0
Zm00001d028690	4
Zm00001d028691	0
Zm00001d028692	1
Zm00001d028693	0
Zm00001d028694	0
Zm00001d028695	0
Zm00001d028696	0
Zm00001d028697	0
Zm00001d028698	0
Zm00001d028699	3
Zm00001d028701	0
Zm00001d028702	0
Zm00001d028703	0
Zm00001d028704	1
Zm00001d028705	0
Zm00001d028707	0
Zm00001d028708	0
Zm00001d028709	2
Zm00001d028710	0
Zm00001d028711	0
Zm00001d028712	1
Zm00001d028713	0
Zm00001d028714	0
Zm00001d028715	2
Zm00001d028718	0
Zm00001d028719	0
Zm00001d028720	0
Zm00001d028721	0
Zm00001d028722	0
Zm00001d028723	0
Zm00001d028724	0
Zm00001d028725	0
Zm00001d028726	1
Zm00001d028727	0
Zm00001d028728	0
Zm00001d028730	0
Zm00001d028731	0
